Var1,media,varianza,asimetria,curtosis,entropia,contraste,correlacion,energia,homogeneidad
imagen21,138.91015625,69247.3683670343,1.9997909807013,6.24947568018818,0.978584485319995,0.00574357722011802,0.970693434613945,0.879535551618191,0.997776301051737
imagen22,194.21484375,301933.000719976,2.83800404588814,9.71857102472152,0.73576962781078,0.00482779835018914,0.948784796200482,0.901209622633854,0.997604886032494
imagen23,145.671875,175742.346813725,3.98180609096467,20.0319660845546,0.997841572999656,0.00601596273014814,0.89137997882566,0.954622391586819,0.998039920131559
imagen24,172.4453125,111352.804840686,2.06516874403422,6.37625891936473,0.978584485319995,0.00679554884506196,0.965872517645652,0.872244569902074,0.997490609352998
imagen25,76.171875,50752.2213235294,3.59298607983932,15.2947417772343,0.980495792602403,0.00218378038213809,0.888671272233007,0.986100755863669,0.999219239809612
imagen26,208,379746.023529412,4.01643730095153,19.6038942819762,0.99135331021701,0.00419379759408454,0.929160366778983,0.954438368512123,0.998314027618952
imagen27,90.82421875,341743.290548407,8.85013450432824,91.4651770408201,0.661976064111565,0.000380400453662763,0.505907287475071,0.998849847338745,0.999809799773169
imagen28,127.80859375,181673.473023897,4.24627554220492,21.6366839862324,0.817410882805947,0.00185034294744603,0.911225443063991,0.977933658581781,0.999118660677316
imagen29,72.734375,57242.2115196078,4.21171978568137,21.0251896593701,0.757878462538395,0.00173293540001925,0.878853450858426,0.983965612339704,0.99913353229999
imagen30,83.18359375,67553.4132199755,4.82012975236661,28.2796748135592,0.984047163704568,0.00306668513878746,0.909625757132768,0.974017997195033,0.99884928862767
imagen31,83.609375,141477.180147059,5.84965729398778,40.3008469714838,0.823427431794773,0.000525985812471969,0.733077555740036,0.997574109131025,0.999746399697558
imagen32,110.71875,266007.018627451,6.29805974374656,46.8364014875531,0.896038232534557,0.000967438190796657,0.744355427674571,0.996144785793945,0.999594552602886
imagen33,87.62109375,47401.7892003676,3.6196976230253,17.5431855174347,0.994666088672555,0.00340951517727366,0.933695577250136,0.96550375003385,0.99878678867659
imagen34,78.03515625,55929.9713082108,3.66069006807205,16.1980644753449,0.948488076074191,0.00270506989271298,0.913265450079053,0.970115146512902,0.998892846827766
imagen35,128.9921875,206707.066605392,5.28943421519037,32.959505559228,0.912999213585247,0.00202880241953474,0.927208782072768,0.978460868791541,0.99913901131887
imagen36,102.796875,28513.7625,1.59372091852337,4.92468857395654,0.99889903094381,0.00534439155886697,0.975684265472615,0.909263057967568,0.998065162754256
imagen37,140.69140625,295790.057337623,5.41418912107843,34.6215082213827,0.920878015438321,0.00510018386021927,0.964639563233666,0.862428454750389,0.997951238297403
imagen38,83.34765625,81463.4355238971,7.10561676387081,56.6851818459916,0.990071000342868,0.00311364815775817,0.965888980400068,0.960230315137407,0.998691492883929
imagen39,78.8359375,78860.8670955882,9.1846301888216,96.7003762503943,0.999603715686848,0.00321696679949374,0.967163049474921,0.962073816678167,0.998631771578138
imagen40,70.51171875,75835.4743719363,5.3297977508314,32.8077247116826,0.924669105974498,0.00148872770137156,0.793446877729488,0.993123297743223,0.999434878338386
imagen41,124.0546875,153109.07935049,3.86973360323599,17.3227510548484,0.88224379779762,0.00816686899900673,0.959446802910238,0.929657724806744,0.99763971693823
imagen42,73.97265625,19104.2463082108,1.85255447794157,5.01075292954246,0.954434002924965,0.00397776770681926,0.976249153370766,0.916566730286431,0.998751566412362
imagen43,141.6015625,72701.1818014706,1.86032085037668,5.34465261915328,0.988699408288497,0.00800249843260924,0.972849648738778,0.85019240121053,0.997185232322141
imagen44,137.1953125,65693.2166053922,1.62079453156919,4.04219218013281,0.99135331021701,0.00785691307380004,0.97340697124514,0.851903356810057,0.997417033956611
imagen45,113.3359375,61913.2357230392,3.17422673935876,14.6813762806901,0.999955971993497,0.00372416740437742,0.940868707912691,0.950289974818197,0.998728241446273
imagen46,162.01171875,107136.403783701,3.26538287102505,15.7553287920693,0.984047163704568,0.00617094069275149,0.960573994153219,0.916255233096138,0.99744853831517
imagen47,88.64453125,123194.888832721,5.1715300502392,30.6948228300004,0.798659130358246,0.000685660076972388,0.87738160524443,0.993793278532373,0.999666562565308
imagen48,138.75,113974.501960784,3.07864993923265,11.8067278527009,0.992546497863933,0.00529742853989626,0.943157084643695,0.954738767643216,0.998172551524302
imagen49,76.91015625,91758.6860140931,5.59953044005199,37.217876735948,0.942163169083551,0.00149342400326863,0.818149424551776,0.992520663601901,0.999422550545906
imagen50,124.6484375,494924.189644608,7.17711505441103,57.7495177613876,0.935455764557577,0.00129148302169457,0.726569046429324,0.996627041865262,0.99959983594252
